,name,manufacturer,category,subcategory,feature
31,Ohigawa Railway SL [Kawane-ji] (4-Car Set) (Model Train),Kato,Hobbies , Model Trains & Railway Sets ,ohigawa railway sl [kawane-ji] (4-car set) (model train) kato hobbies   model trains & railway sets 
32,"TRIX T23469 H0 Luggage wagon of K.BAY.STS.instance, Luggage van",Trix,Hobbies , Model Trains & Railway Sets ,"trix t23469 h0 luggage wagon of k.bay.sts.instance, luggage van trix hobbies   model trains & railway sets "
33,Dapol Stanier 57ft Non Corridor Brake Coach - OO Gauge Plastic Kit,Dapol,Hobbies , Model Trains & Railway Sets ,dapol stanier 57ft non corridor brake coach - oo gauge plastic kit dapol hobbies   model trains & railway sets 
34,S-60 EF66 Electric Locomotive (Tomica PlaRail Model Train) (japan import),Takara Tomy,Hobbies , Model Trains & Railway Sets ,s-60 ef66 electric locomotive (tomica plarail model train) (japan import) takara tomy hobbies   model trains & railway sets 
35,Hornby R1138 GWR Passenger Freight 00 Gauge Electric Train Set,Hornby,Hobbies , Model Trains & Railway Sets ,hornby r1138 gwr passenger freight 00 gauge electric train set hornby hobbies   model trains & railway sets 
36,WD Austerity 2-8-0 90448 BR Black Late Crest (DCC,RAILWAY - BACHMANN,Hobbies , Model Trains & Railway Sets ,wd austerity 2-8-0 90448 br black late crest (dcc railway - bachmann hobbies   model trains & railway sets 
37,"KATO 70148015 N Portram TLR 601 Portram, grün",Kato,Hobbies , Model Trains & Railway Sets ,"kato 70148015 n portram tlr 601 portram, grün kato hobbies   model trains & railway sets "
38,I/G (2) Oldtime Lanterns Working,Busch,Hobbies , Model Trains & Railway Sets ,i/g (2) oldtime lanterns working busch hobbies   model trains & railway sets 
39,Piko 53366 KSStEB 1st/2nd Class Coach I,Piko,Hobbies , Model Trains & Railway Sets ,piko 53366 kssteb 1st/2nd class coach i piko hobbies   model trains & railway sets 
40,Hornby Digital 15 V 4 Amp Transformer,Hornby,Hobbies , Model Trains & Railway Sets ,hornby digital 15 v 4 amp transformer hornby hobbies   model trains & railway sets 
41,Harry Potter - Diecast Hogwarts Express Train,Corgi,Hobbies , Model Trains & Railway Sets ,harry potter - diecast hogwarts express train corgi hobbies   model trains & railway sets 
